device_id,device_type,manufacturer,installation_date,max_temp,min_temp
DEV_00000,pressure,IoTech,2023-08-16,81.65958395889541,-8.845941431682023
DEV_00001,multi,DataSense,2022-04-24,74.91051404395904,-1.1126930151697128
DEV_00002,temperature,SensorCorp,2022-02-09,78.2137392254232,-4.489041215610332
DEV_00003,pressure,SensorCorp,2022-10-28,97.8495259854573,2.4407912474198756
DEV_00004,pressure,SensorCorp,2022-08-12,90.27946826759066,9.84884578749558
DEV_00005,multi,SensorCorp,2022-11-14,84.88143516039659,-2.2735365384706814
DEV_00006,temperature,SensorCorp,2022-12-15,70.38144669960681,1.4768250820902669
DEV_00007,temperature,SensorCorp,2022-04-25,99.77246201468411,-1.6879220818532907
DEV_00008,pressure,SensorCorp,2023-11-29,90.1436480468393,6.9454333544371885
DEV_00009,humidity,IoTech,2022-11-19,79.50767432034834,8.044728069244762
DEV_00010,pressure,DataSense,2023-07-22,96.37805979993514,7.5471122441052
DEV_00011,pressure,SensorCorp,2022-02-09,77.75294860875454,9.487444773585153
DEV_00012,pressure,IoTech,2022-02-09,86.32049737548255,-9.449616297191694
DEV_00013,pressure,IoTech,2022-10-16,89.08212291189476,6.796323242910621
DEV_00014,multi,DataSense,2022-09-19,76.63190114361186,5.035443460781865
DEV_00015,temperature,SensorCorp,2022-08-04,99.35191836401788,-5.426111811992705
DEV_00016,multi,DataSense,2022-05-27,92.44575717936993,9.126401867750552
DEV_00017,multi,SensorCorp,2022-12-02,86.7343967653321,-7.036441435401091
DEV_00018,multi,IoTech,2022-06-17,75.41783794525902,3.590998542678168
DEV_00019,pressure,IoTech,2022-04-02,71.61574620994078,-5.50219566368175
DEV_00020,humidity,IoTech,2022-12-19,79.6017949756295,-1.3723870245185061
DEV_00021,temperature,IoTech,2023-07-25,92.59562007740209,4.383197938891378
DEV_00022,humidity,DataSense,2023-07-25,78.07993894906075,1.2664928406609341
DEV_00023,multi,SensorCorp,2023-11-12,86.18668661486515,-1.4499633734377664
DEV_00024,multi,SensorCorp,2022-12-29,91.8384153019223,-3.4732313813602556
DEV_00025,humidity,DataSense,2023-07-11,73.23831143939393,6.793193114175807
DEV_00026,humidity,SensorCorp,2022-12-11,90.5589404834762,-7.123712993703726
DEV_00027,humidity,IoTech,2023-11-24,72.75612663130134,-1.3979424694039988
DEV_00028,multi,SensorCorp,2022-06-19,98.95389226380989,8.075151435502843
DEV_00029,multi,IoTech,2022-12-22,84.65182390194819,6.916991009199354
DEV_00030,temperature,DataSense,2022-07-10,74.52028323129632,-1.9811647505390653
DEV_00031,temperature,SensorCorp,2023-10-29,80.2715090810064,5.262167272026165
DEV_00032,multi,DataSense,2023-02-26,82.40249347885785,6.463216614177185
DEV_00033,humidity,SensorCorp,2023-12-01,92.74555033229612,7.777748480072596
DEV_00034,humidity,IoTech,2022-01-07,92.30271358229828,0.8901153809845592
DEV_00035,temperature,DataSense,2022-05-13,88.35821516011993,-5.910782278905764
DEV_00036,multi,SensorCorp,2023-07-11,73.1779213767548,-4.893818469921367
DEV_00037,temperature,IoTech,2022-01-31,74.54708114763021,-4.086106519167916
DEV_00038,temperature,DataSense,2023-06-19,72.8127076193667,1.8760496161923097
DEV_00039,pressure,DataSense,2023-03-02,87.31518349862651,-9.34380751742783
DEV_00040,pressure,SensorCorp,2023-01-29,96.31415324534211,2.720849375599366
DEV_00041,pressure,SensorCorp,2023-11-03,83.01401536764315,-2.7129152314353604
DEV_00042,humidity,SensorCorp,2022-12-29,74.82544521873238,-4.095163950207157
DEV_00043,multi,IoTech,2023-03-13,86.74126975446902,7.589931414562528
DEV_00044,multi,SensorCorp,2023-11-01,94.3525665059713,-0.7999520883840212
DEV_00045,multi,DataSense,2023-07-05,92.2513618453879,-8.098939089346144
DEV_00046,multi,DataSense,2022-03-23,96.44352339025065,6.5349353605249405
DEV_00047,pressure,SensorCorp,2022-12-22,78.33706291746603,-9.047174851269869
DEV_00048,humidity,SensorCorp,2022-09-15,75.81861601803324,4.5349844833639334
DEV_00049,humidity,DataSense,2023-12-19,96.39449457825816,5.478124435413303
DEV_00050,pressure,IoTech,2023-08-12,89.7268093833407,-2.947947881422836
DEV_00051,humidity,SensorCorp,2023-06-08,79.32786790022662,6.495757125555734
DEV_00052,pressure,SensorCorp,2022-10-22,92.27044151717527,0.31318811712906935
DEV_00053,multi,DataSense,2022-08-12,94.45355153441103,-0.7341269345440633
DEV_00054,pressure,SensorCorp,2023-06-09,88.44934721023397,-9.091934370626149
DEV_00055,multi,IoTech,2022-02-15,90.63652329639746,-4.199416127021882
DEV_00056,multi,DataSense,2023-10-29,81.25779713328,8.620199417705997
DEV_00057,temperature,SensorCorp,2022-04-23,86.16087002029117,-2.1635207343299996
DEV_00058,pressure,DataSense,2022-08-21,85.72477512178487,0.9340104111353664
DEV_00059,temperature,SensorCorp,2022-01-17,95.44143373392316,0.6404335796850358
DEV_00060,pressure,SensorCorp,2022-12-26,95.19891940846549,1.808621796453867
DEV_00061,pressure,SensorCorp,2022-08-11,94.9804140804113,-8.773380887134348
DEV_00062,temperature,IoTech,2023-12-01,70.33094842787398,-2.756474904025435
DEV_00063,temperature,IoTech,2023-03-24,92.48636453406665,4.462565477651083
DEV_00064,pressure,DataSense,2022-12-31,92.76029170333015,-5.988794978540342
DEV_00065,humidity,SensorCorp,2023-11-06,90.35136468565426,-5.928432449072791
DEV_00066,multi,SensorCorp,2022-11-22,92.68793973674357,-9.798187866219505
DEV_00067,temperature,IoTech,2023-04-12,95.25911114490125,-1.2503614678358055
DEV_00068,multi,SensorCorp,2023-02-18,84.10957162305357,7.65468761346844
DEV_00069,humidity,IoTech,2023-03-31,85.06150640465341,-8.96198112825382
DEV_00070,humidity,SensorCorp,2023-08-09,73.74142170734171,-6.177625810079947
DEV_00071,humidity,DataSense,2022-08-21,81.56127649142086,-3.7983092331448987
DEV_00072,temperature,SensorCorp,2022-08-12,89.30095539735353,4.634494731284258
DEV_00073,humidity,SensorCorp,2023-02-16,93.41199328441823,2.812711856051731
DEV_00074,temperature,IoTech,2023-07-26,76.51627293073632,-1.6811219083628988
DEV_00075,humidity,SensorCorp,2022-12-01,74.13468697477707,5.181378785167514
DEV_00076,multi,SensorCorp,2022-08-10,89.89126013501476,2.1926202331380384
DEV_00077,multi,IoTech,2022-02-06,70.05639650574732,7.92081599314438
DEV_00078,pressure,DataSense,2022-10-05,75.3511775292199,6.36053498277386
DEV_00079,multi,DataSense,2022-07-15,70.87214141031862,-4.943727878215989
DEV_00080,pressure,IoTech,2023-04-29,75.00655353564613,-4.571228447315995
DEV_00081,multi,IoTech,2022-08-30,75.43957839776516,-7.492870484152288
DEV_00082,temperature,IoTech,2022-11-20,81.63020784251182,-3.2607054856508704
DEV_00083,multi,IoTech,2022-07-11,82.06981374059669,9.990878374381886
DEV_00084,pressure,IoTech,2022-01-17,96.22787411830714,-1.88497662769878
DEV_00085,pressure,DataSense,2023-06-08,85.30329137496476,-5.590231306217872
DEV_00086,humidity,DataSense,2023-02-05,91.70214296836859,5.249657689511061
DEV_00087,temperature,IoTech,2023-12-06,73.12412073760862,0.8494200692531209
DEV_00088,multi,SensorCorp,2022-01-22,76.76316266391082,-7.007971009460949
DEV_00089,humidity,IoTech,2023-04-19,91.0883032293603,-2.3862063767826847
DEV_00090,multi,SensorCorp,2022-04-30,71.58411881405584,-1.7106056892131338
DEV_00091,multi,IoTech,2022-07-29,84.59792986731259,5.076594011384373
DEV_00092,humidity,IoTech,2022-11-02,87.98106896988801,-9.58657262216191
DEV_00093,humidity,DataSense,2022-09-27,88.06436932157443,-4.61960706403379
DEV_00094,humidity,SensorCorp,2023-12-05,70.68798433804126,0.3519260263104407
DEV_00095,humidity,SensorCorp,2023-11-18,79.66324012687556,-4.623065150943133
DEV_00096,humidity,DataSense,2022-10-12,89.09471953147462,2.5686809483799777
DEV_00097,multi,DataSense,2023-12-17,74.4699920844773,-0.36265041450766766
DEV_00098,humidity,DataSense,2023-11-07,90.8624694498416,-2.7657949028083877
DEV_00099,temperature,DataSense,2022-08-15,92.37775626441024,8.984172537410245
DEV_00100,pressure,SensorCorp,2023-01-16,99.45907571338435,2.6431899837291475
DEV_00101,humidity,SensorCorp,2023-04-05,76.29525984569229,-7.4011725546411755
DEV_00102,humidity,IoTech,2022-01-07,94.75392002998345,1.2018339488679093
DEV_00103,multi,IoTech,2022-01-29,85.60889730755962,5.614637064018019
DEV_00104,humidity,DataSense,2022-02-02,81.20387788432521,4.169793949855947
DEV_00105,humidity,DataSense,2023-10-08,73.67130271975533,-6.558215414094812
DEV_00106,humidity,DataSense,2022-03-20,92.06516819462612,9.448399980802066
DEV_00107,multi,IoTech,2023-04-04,77.07572797431061,-1.0237270850678808
DEV_00108,humidity,IoTech,2023-07-24,81.14266005619137,-6.8194999251947745
DEV_00109,pressure,IoTech,2023-06-22,71.87626680692105,-6.396084917437042
DEV_00110,multi,IoTech,2023-04-27,94.04100747458557,-8.03530015621839
DEV_00111,pressure,IoTech,2023-03-06,92.9976557191493,6.070362168698686
DEV_00112,multi,IoTech,2022-10-12,92.00847490126938,-7.559390113563027
